Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51122895,"The New Map: Energy, Climate, and the Clash of Nations",Daniel Yergin,"Yergin, Daniel",,"=""1594206430""","=""9781594206436""",0,4.20,Penguin Press,Hardcover,512,2020,2020,,2023/04/15,to-read,to-read (#60),to-read,,,,0,0
40603783,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,"Jay, Meg",,"=""""","=""""",0,4.11,Twelve,Kindle Edition,273,2012,2012,,2023/01/09,to-read,to-read (#59),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",0,4.16,Knopf,Hardcover,401,2022,2022,,2022/10/22,to-read,to-read (#58),to-read,,,,0,0
280652,Millennials Rising: The Next Great Generation,Neil Howe,"Howe, Neil",William Strauss,"=""0375707190""","=""9780375707193""",0,3.62,Vintage,Paperback,432,2000,2000,,2022/10/16,to-read,to-read (#57),to-read,,,,0,0
183651,Generations,William Strauss,"Strauss, William",Neil Howe,"=""0688119123""","=""9780688119126""",0,4.18,William Morrow,Paperback,538,1992,1991,,2022/10/16,to-read,to-read (#56),to-read,,,,0,0
42778728,Disunited Nations: Succeeding in a World Where No One Gets Along,Peter Zeihan,"Zeihan, Peter",,"=""0062913697""","=""9780062913692""",0,4.25,HarperBusiness,ebook,256,2019,2020,,2022/10/16,,,read,,,,1,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",0,4.11,Time Warner Books UK,Paperback,195,2001,1997,,2019/09/02,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.35,Avery,Kindle Edition,319,2018,2018,,2020/05/20,,,read,,,,1,0
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,"=""""","=""""",0,4.41,Random House,Hardcover,272,2019,2019,,2020/06/07,,,read,,,,1,0
82256,The Sovereign Individual: Mastering the Transition to the Information Age,James Dale Davidson,"Davidson, James Dale",William Rees-Mogg,"=""0684832720""","=""9780684832722""",0,4.20,Touchstone,Paperback,448,1999,1997,,2022/01/04,currently-reading,currently-reading (#4),currently-reading,,,,1,0
53547017,How I Trade and Invest In Stocks and Bonds (Illustrated): Being Some Methods Evolved and Adopted During My Thirty-three Years Experience in Wall Street,Richard Wyckoff,"Wyckoff, Richard",,"=""""","=""""",5,4.33,Peachtree Publishing,Kindle Edition,101,2020,,2021/08/18,2021/08/18,,,read,,,,1,0
40941455,Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley,Antonio García Martínez,"Martínez, Antonio García",,"=""""","=""""",5,3.71,Harper Paperbacks,Kindle Edition,528,2018,2016,2021/07/04,2021/05/23,,,read,,,,1,0
12329637,Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"Rumelt, Richard P.",,"=""""","=""""",5,4.13,,Kindle Edition,336,,2011,2021/06/15,2021/04/19,,,read,,,,1,0
44649332,Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew    Skelton,"Skelton, Matthew",,"=""""","=""""",0,4.21,IT Revolution Press,Kindle Edition,274,2019,2019,,2021/05/06,currently-reading,currently-reading (#3),currently-reading,,,,1,0
42754169,Reboot: Leadership and the Art of Growing Up,Jerry  Colonna,"Colonna, Jerry",,"=""""","=""""",5,3.91,Harper Business,Kindle Edition,293,2019,2019,2021/04/14,2021/04/03,,,read,,,,1,0
12902053,Finite and Infinite Games,James P. Carse,"Carse, James P.",,"=""""","=""""",0,3.77,,Kindle Edition,119,,1986,,2021/04/11,currently-reading,currently-reading (#2),currently-reading,,,,1,0
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0307269191""","=""9780307269195""",5,3.87,Knopf Publishing Group,Hardcover,188,2008,2007,2020/08/12,2020/05/31,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",5,4.17,Ecco,Hardcover,392,2015,2015,2020/08/09,2020/06/07,,,read,,,,1,0
45303387,An Elegant Puzzle: Systems of Engineering Management,Will Larson,"Larson, Will",,"=""1953953336""","=""9781953953339""",5,4.10,Stripe Press,Kindle Edition,289,2019,2019,2021/04/03,2021/03/30,,,read,,,,1,0
4030991,Shoe Dog,Phil Knight,"Knight, Phil",,"=""""","=""""",5,4.47,Scribner,Kindle Edition,402,2016,2016,2021/03/11,2019/09/02,,,read,,,,1,0
112160,Lore of Running,Tim Noakes,"Noakes, Tim",,"=""0873229592""","=""9780873229593""",0,4.16,Human Kinetics,Paperback,943,2002,1987,,2020/08/17,to-read,to-read (#55),to-read,,,,0,0
41817453,The Rise of the Ultra Runners: A Journey to the Edge of Human Endurance,Adharanand Finn,"Finn, Adharanand",,"=""1643131354""","=""9781643131351""",0,4.37,Pegasus Books,Hardcover,304,2019,2019,,2020/08/17,to-read,to-read (#54),to-read,,,,0,0
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""""","=""""",0,4.31,Knopf,Hardcover,287,2009,2009,,2020/08/17,to-read,to-read (#53),to-read,,,,0,0
10814,Here Is New York,E.B. White,"White, E.B.","Roger Angell, Barbara Cohen, Judith Stonehill","=""1892145022""","=""9781892145024""",0,4.29,The Little Bookroom,Hardcover,56,2000,1948,,2020/06/07,to-read,to-read (#52),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,777,1999,1979,,2020/06/07,to-read,to-read (#51),to-read,,,,0,0
43848929,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",0,4.01,"Little, Brown and Company",Hardcover,388,2019,2019,,2020/06/07,to-read,to-read (#50),to-read,,,,0,0
759945,The Magic of Thinking Big,David J. Schwartz,"Schwartz, David J.",,"=""0671646788""","=""9780671646783""",0,4.26,Touchstone,Paperback,238,1987,1959,,2020/05/30,to-read,to-read (#49),to-read,,,,0,0
313605,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"Fisher, Roger","William Ury, Bruce Patton","=""0140157352""","=""9780140157352""",5,3.95,Penguin Group,Paperback,200,1992,1981,,2020/05/30,,,read,,,,1,0
4122,"Built to Last: Successful Habits of Visionary Companies (Good to Great, 2)",James C. Collins,"Collins, James C.","Jim Collins, Jerry I. Porras","=""0060566108""","=""9780060566104""",5,4.06,Harper Business,Hardcover,368,2004,1994,,2020/05/17,,,read,,,,1,0
46183582,Golden Gates: Fighting for Housing in America,Conor Dougherty,"Dougherty, Conor",,"=""0525560211""","=""9780525560210""",0,4.07,Penguin Press,Hardcover,288,2020,2020,,2020/04/19,marc-andreesen,marc-andreesen (#9),read,,,,0,0
9897152,"Triumph of the City: How Our Greatest Invention Makes Us Richer, Smarter, Greener, Healthier and Happier",Edward L. Glaeser,"Glaeser, Edward L.",,"=""159420277X""","=""9781594202773""",0,3.92,Penguin Press,Hardcover,352,2011,2011,,2020/04/19,marc-andreesen,marc-andreesen (#8),read,,,,0,0
43984882,Edison,Edmund Morris,"Morris, Edmund",,"=""081299311X""","=""9780812993110""",0,3.54,Random House,Hardcover,800,2019,2019,,2020/04/19,marc-andreesen,marc-andreesen (#7),read,,,,0,0
16127,"The Tycoons: How Andrew Carnegie, John D. Rockefeller, Jay Gould and J.P. Morgan Invented the American Supereconomy",Charles R. Morris,"Morris, Charles R.",,"=""0805081348""","=""9780805081343""",0,3.75,Holt Paperbacks,Paperback,400,2006,2005,,2020/04/19,marc-andreesen,marc-andreesen (#6),read,,,,0,0
566004,Naked Nomads: Unmarried Men in America,George Gilder,"Gilder, George",,"=""0812904958""","=""9780812904956""",0,3.73,Quadrangle/New York Times Book Co,Hardcover,180,1974,1974,,2020/04/19,marc-andreesen,marc-andreesen (#5),read,,,,0,0
1225915,Recapturing Spirit of Enterprise,George Gilder,"Gilder, George",,"=""1558152016""","=""9781558152014""",0,4.00,Ics Pr,Paperback,275,1992,1992,,2020/04/19,marc-andreesen,marc-andreesen (#4),read,,,,0,0
381339,"The Power of Productivity: Wealth, Poverty, and the Threat to Global Stability",William W. Lewis,"Lewis, William W.",,"=""0226476766""","=""9780226476766""",0,3.98,University of Chicago Press,Hardcover,370,2004,2004,,2020/04/19,marc-andreesen,marc-andreesen (#3),read,,,,0,0
6411373,Whole Earth Discipline: An Ecopragmatist Manifesto,Stewart Brand,"Brand, Stewart",,"=""0670021210""","=""9780670021215""",0,4.11,Viking Adult,Hardcover,336,2009,2009,,2020/04/19,marc-andreesen,marc-andreesen (#2),read,,,,0,0
43822733,More from Less: The Surprising Story of How We Learned to Prosper Using Fewer Resources―and What Happens Next,Andrew McAfee,"McAfee, Andrew",,"=""1982103574""","=""9781982103576""",0,3.89,Scribner,Hardcover,352,2019,2019,,2020/04/19,marc-andreesen,marc-andreesen (#1),read,,,,0,0
29805545,"Peebles Principles, The",R. Donahue Peebles,"Peebles, R. Donahue",Dion Graham,"=""1531816010""","=""9781531816018""",0,4.29,Audible Studios on Brilliance Audio,MP3 CD,0,2016,2007,,2019/09/02,to-read,to-read (#48),to-read,,,,0,0
1052,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,"=""0451205367""","=""9780451205360""",0,4.24,Berkley Books,Paperback,194,2002,1926,,2019/09/02,to-read,to-read (#47),to-read,,,,0,0
457264,The Second Sex,Simone de Beauvoir,"Beauvoir, Simone de","H.M. Parshley, Deirdre Bair","=""0679724516""","=""9780679724513""",0,4.17,Vintage,Paperback,746,1989,1949,,2019/09/02,to-read,to-read (#46),to-read,,,,0,0
33954,The Spook Who Sat by the Door,Sam Greenlee,"Greenlee, Sam",,"=""1930097271""","=""9781930097278""",0,4.35,Lushena Books,Paperback,256,2014,1969,,2019/09/02,to-read,to-read (#45),to-read,,,,0,0
66933,The Wretched of the Earth,Frantz Fanon,"Fanon, Frantz","Homi K. Bhabha, Richard Philcox, Jean-Paul Sartre","=""0802141323""","=""9780802141323""",0,4.32,Grove Press,Paperback,251,2005,1961,,2019/09/02,to-read,to-read (#44),to-read,,,,0,0
33449,The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk,Al Ries,"Ries, Al",Jack Trout,"=""0887306667""","=""9780887306662""",0,4.05,HarperBusiness,Paperback,143,1994,1993,,2019/09/02,to-read,to-read (#43),to-read,,,,0,0
30186948,Think and Grow Rich,Napoleon Hill,"Hill, Napoleon","Bill Hartley, Ann Hartley, Ben Holden-Crowther, Muhammad Ghous Siddiqui","=""""","=""""",0,4.18,,Paperback,233,2016,1937,,2019/09/02,to-read,to-read (#42),to-read,,,,0,0
1565533,The 22 Immutable Laws of Branding: How to Build a Product or Service Into a World-Class Brand,Laura Ries,"Ries, Laura",Al Ries,"=""0887309372""","=""9780887309373""",0,3.90,Harperbusiness,Hardcover,192,1998,1998,,2019/09/02,to-read,to-read (#41),to-read,,,,0,0
26140190,Three Magic Words,Uell S. Andersen,"Andersen, Uell S.",,"=""""","=""""",0,4.37,Stellar Editions,Kindle Edition,241,2015,2015,,2019/09/02,to-read,to-read (#40),to-read,,,,0,0
39507055,Vertical Integration and Technological Innovation: A Transaction Cost Approach (Studies on Industrial Productivity: Selected Works),Yeong Heok Lee,"Lee, Yeong Heok",,"=""113831496X""","=""9781138314962""",0,3.20,Routledge,Hardcover,140,2018,,,2019/09/02,to-read,to-read (#39),to-read,,,,0,0
31823677,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,"Ferriss, Timothy",Arnold Schwarzenegger,"=""""","=""""",0,4.10,Houghton Mifflin Harcourt,Kindle Edition,827,2016,2016,,2019/09/02,to-read,to-read (#38),to-read,,,,0,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",0,4.13,Penguin Books,Paperback,452,2000,1998,,2019/09/02,to-read,to-read (#37),to-read,,,,0,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",5,3.96,Harper Press,Paperback,273,2005,-400,,2019/09/02,,,read,,,,1,0
20995,The Art of Seduction,Robert Greene,"Greene, Robert","Мариана Мелнишка, Робърт Грийн","=""1861977697""","=""9781861977694""",0,3.95,Penguin,Paperback,466,2001,2001,,2019/09/02,to-read,to-read (#36),to-read,,,,0,0
13547521,Seven Thousand Ways to Listen: Staying Close to What Is Sacred,Mark Nepo,"Nepo, Mark",,"=""145167466X""","=""9781451674668""",0,4.09,Atria Books,Hardcover,273,2012,2006,,2019/09/02,to-read,to-read (#35),to-read,,,,0,0
371464,Seize the Time: The Story of the Black Panther Party and Huey P. Newton,Bobby Seale,"Seale, Bobby",,"=""093312130X""","=""9780933121300""",0,4.34,Black Classic Press,Paperback,429,1996,1968,,2019/09/02,to-read,to-read (#34),to-read,,,,0,0
19795,Power vs. Force: The Hidden Determinants of Human Behavior (Paperback),David R. Hawkins,"Hawkins, David R.",,"=""1561709336""","=""9781561709335""",0,4.14,Hay House,Unknown Binding,341,2002,1985,,2019/09/02,to-read,to-read (#33),to-read,,,,0,0
25614523,Originals: How Non-Conformists Move the World,Adam M. Grant,"Grant, Adam M.",,"=""0525429565""","=""9780525429562""",0,3.96,Viking,Hardcover,326,2016,2016,,2019/09/02,to-read,to-read (#32),to-read,,,,0,0
289114,Manchild in the Promised Land,Claude  Brown,"Brown, Claude",Claude Brown,"=""0684864185""","=""9780684864181""",0,4.28,Touchstone,Paperback,416,1999,1965,,2019/09/02,to-read,to-read (#31),to-read,,,,0,0
99690,No Man Is an Island,Thomas Merton,"Merton, Thomas",,"=""1590302532""","=""9781590302538""",0,4.14,Shambhala,Hardcover,272,2005,1955,,2019/09/02,to-read,to-read (#30),to-read,,,,0,0
91682,Revolutionary Suicide,Huey P. Newton,"Newton, Huey P.",J. Herman Blake,"=""0863163262""","=""9780863163265""",0,4.47,Writers & Readers,Paperback,332,1995,1973,,2019/09/02,to-read,to-read (#29),to-read,,,,0,0
489637,Blood in My Eye,George L. Jackson,"Jackson, George L.",,"=""""","=""""",0,4.53,Black Classic Press,Paperback,195,1996,1972,,2019/09/02,to-read,to-read (#28),to-read,,,,0,0
79424,"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",David Deida,"Deida, David",,"=""1591792576""","=""9781591792574""",0,4.06,Sounds True,Paperback,202,2004,1997,,2019/09/02,to-read,to-read (#27),to-read,,,,0,0
31237182,"A Macat analysis of Frantz Fanon’s Black Skin, White Masks",Rachele Dini,"Dini, Rachele",,"=""""","=""""",0,3.84,Macat.com,Kindle Edition,83,2016,,,2019/09/02,to-read,to-read (#26),to-read,,,,0,0
13586929,Conscious Capitalism: Liberating the Heroic Spirit of Business,John Mackey,"Mackey, John","Rajendra Sisodia, Bill George","=""1422144208""","=""9781422144206""",0,3.79,Harvard Business Review Press,Hardcover,368,2013,2012,,2019/09/02,to-read,to-read (#25),to-read,,,,0,0
15801967,Contagious: Why Things Catch On,Jonah Berger,"Berger, Jonah",,"=""1451686579""","=""9781451686579""",0,3.98,Simon & Schuster,Hardcover,210,2013,2013,,2019/09/02,to-read,to-read (#24),to-read,,,,0,0
37638098,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,"Kocienda, Ken",,"=""1250194466""","=""9781250194466""",0,4.06,St. Martin's Press,Hardcover,264,2018,2018,,2019/09/02,to-read,to-read (#23),to-read,,,,0,0
37691576,Culture Vultures,Kenyatta Khari Griggs,"Griggs, Kenyatta Khari",Damon Dash,"=""1979769176""","=""9781979769174""",0,4.02,CreateSpace Independent Publishing Platform,Paperback,334,2017,,,2019/09/02,to-read,to-read (#22),to-read,,,,0,0
38315,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto),Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0812975219""","=""9780812975215""",0,4.08,Random House Trade Paperbacks,Paperback,368,2005,2001,,2019/09/02,to-read,to-read (#21),to-read,,,,0,0
27276408,Invisible Influence: The Hidden Forces that Shape Behavior,Jonah Berger,"Berger, Jonah",,"=""1476759693""","=""9781476759692""",0,3.69,Simon & Schuster,Hardcover,272,2016,2016,,2019/09/02,to-read,to-read (#20),to-read,,,,0,0
40204942,Law and Economics of Vertical Integration and Control,Roger D. Blair,"Blair, Roger D.",David L. Kaserman,"=""1483261093""","=""9781483261096""",0,4.00,Academic Press,Kindle Edition,211,2014,1983,,2019/09/02,to-read,to-read (#19),to-read,,,,0,0
16144575,How Asia Works: Success and Failure in the World's Most Dynamic Region,Joe Studwell,"Studwell, Joe",,"=""080211959X""","=""9780802119599""",0,4.26,Grove Press,Hardcover,320,2013,2013,,2019/01/07,to-read,to-read (#18),to-read,,,,0,0
530415,The Art of Doing Science and Engineering: Learning to Learn,Richard Hamming,"Hamming, Richard",,"=""9056995014""","=""9789056995010""",0,4.16,CRC Press,Paperback,376,1997,1996,,2019/01/07,to-read,to-read (#17),to-read,,,,0,0
41438894,"Future Forward: Leadership Lessons from Patrick McGovern, the Visionary Who Circled the Globe and Built a Technology Media Empire",Glenn Rifkin,"Rifkin, Glenn",,"=""""","=""""",0,4.04,McGraw Hill,Kindle Edition,256,2018,,,2019/01/03,to-read,to-read (#16),to-read,,,,0,0
6884693,"Merchant Kings: When Companies Ruled the World, 1600 - 1900",Stephen R. Bown,"Bown, Stephen R.",,"=""1553653424""","=""9781553653424""",0,3.88,Douglas & McIntyre,Hardcover,314,2009,2009,,2019/01/03,to-read,to-read (#15),to-read,,,,0,0
67482,Third Wave,Alvin Toffler,"Toffler, Alvin",,"=""0688035973""","=""9780688035976""",5,3.96,Morrow,Hardcover,544,1980,1980,,2019/01/02,,,read,,,,1,0
466537,Future Shock,Alvin Toffler,"Toffler, Alvin",,"=""0553101501""","=""9780553101508""",5,3.81,Bantam Books,Mass Market Paperback,430,1971,1970,,2019/01/02,,,read,,,,1,0
95420,Personal History: A Memoir,Katharine Graham,"Graham, Katharine",,"=""0375701044""","=""9780375701047""",5,4.08,Vintage,Paperback,642,1998,1997,,2019/01/02,,,read,,,,1,0
36417234,Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,"McCord, Patty",,"=""1939714095""","=""9781939714091""",5,4.08,Silicon Guild,Hardcover,228,2018,2018,,2019/01/02,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.36,Vintage,Paperback,512,2015,2011,,2019/01/02,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu","Ken Liu, Cixin Liu","=""""","=""""",0,4.09,Tor Books,Hardcover,472,2014,2006,,2019/01/02,currently-reading,currently-reading (#1),currently-reading,,,,1,0
39674332,It Doesn't Have to Be Crazy at Work,Jason Fried,"Fried, Jason",David Heinemeier Hansson,"=""""","=""""",0,4.01,Harper Business,Kindle Edition,227,2018,2018,,2019/01/02,to-read,to-read (#14),to-read,,,,0,0
18209337,Cubed: A Secret History of the Workplace,Nikil Saval,"Saval, Nikil",,"=""0385536577""","=""9780385536578""",0,3.45,Doubleday,Hardcover,368,2014,2010,,2019/01/02,to-read,to-read (#13),to-read,,,,0,0
25135194,Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,Tim  Marshall,"Marshall, Tim",,"=""1783961414""","=""9781783961412""",0,4.20,Elliott & Thompson,Hardcover,256,2015,2015,,2019/01/02,to-read,to-read (#12),to-read,,,,0,0
6192395,The Last Tycoons: The Secret History of Lazard Frères & Co.,William D. Cohan,"Cohan, William D.",,"=""""","=""""",0,3.85,,Kindle Edition,754,,2007,,2019/01/02,to-read,to-read (#11),to-read,,,,0,0
18914899,The World's Newest Profession: Management Consulting in the Twentieth Century (Cambridge Studies in the Emergence of Global Enterprise),Christopher D. McKenna,"McKenna, Christopher D.",,"=""1107388910""","=""9781107388918""",0,3.63,Cambridge University Press,Kindle Edition,394,2006,2006,,2019/01/02,to-read,to-read (#10),to-read,,,,0,0
1694829,Adland: A Global History of Advertising,Mark Tungate,"Tungate, Mark",,"=""0749448377""","=""9780749448370""",0,3.76,Kogan Page,Hardcover,278,2007,2007,,2018/04/08,to-read,to-read (#9),to-read,,,,0,0
13124576,"The Tycoons: How Andrew Carnegie, John D. Rockefeller, Jay Gould, and J. P. Morgan Invented the American Supereconomy",Charles R. Morris,"Morris, Charles R.",,"=""""","=""""",0,3.75,,Kindle Edition,393,,2005,,2018/04/08,to-read,to-read (#8),to-read,,,,0,0
29974296,Makers and Takers: How Wall Street Destroyed Main Street,Rana Foroohar,"Foroohar, Rana",,"=""""","=""""",0,3.98,Crown Currency,Kindle Edition,382,2016,2016,,2018/04/08,to-read,to-read (#7),to-read,,,,0,0
13642710,"Nexus (Nexus, #1)",Ramez Naam,"Naam, Ramez",ARGH! Oxford,"=""0857662937""","=""9780857662934""",0,4.04,Angry Robot,Paperback,460,2012,2012,,2016/03/29,to-read,to-read (#6),to-read,,,,0,0
9476337,Bossypants,Tina Fey,"Fey, Tina",,"=""0316056863""","=""9780316056861""",4,3.96,"Little, Brown",Hardcover,277,2011,2011,,2013/01/13,,,read,,,,1,0
7954936,What Technology Wants,Kevin Kelly,"Kelly, Kevin",,"=""0670022152""","=""9780670022151""",0,3.73,Viking,Hardcover,416,2010,2010,,2013/09/04,to-read,to-read (#5),to-read,,,,0,0
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,"=""1594488843""","=""9781594488849""",4,3.95,Riverhead Books,Hardcover,242,2009,2009,,2013/01/13,,,read,,,,1,0
1911,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,"Friedman, Thomas L.",,"=""0374292795""","=""9780374292799""",4,3.69,"Farrar, Straus and Giroux (NY)",Hardcover,593,2006,2005,,2013/01/13,,,read,,,,1,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Barry Fox, Irina Henegar","=""0316010669""","=""9780316010665""",4,3.96,Back Bay Books,Paperback,296,2007,2005,,2013/01/13,,,read,,,,1,0
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",4,4.00,Time Warner Book Group,Paperback,301,2002,2002,,2013/01/13,,,read,,,,1,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,"Collins, James C.",Jim Collins,"=""0066620996""","=""9780066620992""",4,4.13,Harper Business,Hardcover,300,2001,2001,,2013/01/13,,,read,,,,1,0
7603,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,"Nafisi, Azar",,"=""081297106X""","=""9780812971064""",0,3.65,Random House Trade Paperbacks,Paperback,356,2003,2003,,2013/01/13,to-read,to-read (#4),to-read,,,,0,0
16640,The Sorrows of Young Werther,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von","Burton Pike, R. Dillon Boylan","=""0812969901""","=""9780812969900""",0,3.69,Modern Library,Paperback,149,2005,1774,,2013/01/13,to-read,to-read (#3),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",5,4.30,Penguin Classics,Paperback,1276,2003,1844,,2013/01/13,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Chris Mould, Celâl Üster, Николай Николов, Boris Grabnar, Κυριάκος Ντελόπουλος, Peter Škerl, Αύγουστος Κορτώ, Pau Masiques, José Manuel Moreno Cidoncha, Τζωρτζ Όργουελ, Celâl Üstüner","=""""","=""""",4,3.99,Plume,Paperback,122,2003,1945,,2013/01/13,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",3,3.80,Back Bay Books,Paperback,277,2001,1951,,2013/01/13,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",0,3.93,Scribner,Paperback,180,1925,1925,,2013/01/13,to-read,to-read (#2),to-read,,,,0,0
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.","Albert R. Hibbs, Ralph Leighton, Edward Hutchings","=""0393316041""","=""9780393316049""",5,4.27,W. W. Norton & Company,Paperback,391,1997,1985,,2013/01/13,,,read,,,,1,0
88061,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,"Obama, Barack",,"=""1921351438""","=""9781921351433""",5,3.93,New York: Three Rivers Press,Paperback,453,2004,1995,,2013/01/13,,,read,,,,1,0
10127019,The Lean Startup,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",4,4.11,Best Business,Board Book,299,2011,2011,,2013/01/13,,,read,,,,1,0
6732019,Rework,Jason Fried,"Fried, Jason",David Heinemeier Hansson,"=""0307463745""","=""9780307463746""",4,3.98,Crown Currency,Hardcover,279,2010,2010,,2013/01/13,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2013/01/13,to-read,to-read (#1),to-read,,,,0,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",3,4.16,Simon & Schuster,Hardcover,630,2011,2011,,2013/01/13,,,read,,,,1,0
6828896,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,"Hsieh, Tony",,"=""0446563048""","=""9780446563048""",4,4.03,Grand Central Publishing,Hardcover,246,2010,2010,,2013/01/13,,,read,,,,1,0
